REF_DATE,GEO,DGUID,Age,Gender,Statistics,Total,Non_Immigrants,Immigrants,Recent_Immigrants_2016_2021,Non_Permanent_Residents
2021,"Gander (CA), N.L.",2021S0504011,55 to 64 years,Total - Gender,2021 Counts,1925.0,1895.0,35.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,55 to 64 years,Men+,2021 Counts,985.0,975.0,15.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,55 to 64 years,Women+,2021 Counts,935.0,920.0,20.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,65 years and over,Total - Gender,2021 Counts,2530.0,2500.0,35.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,65 years and over,Men+,2021 Counts,1175.0,1160.0,15.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,65 years and over,Women+,2021 Counts,1360.0,1340.0,15.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,65 to 74 years,Total - Gender,2021 Counts,1580.0,1550.0,25.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,65 to 74 years,Men+,2021 Counts,760.0,755.0,10.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,65 to 74 years,Women+,2021 Counts,820.0,800.0,15.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,75 years and over,Total - Gender,2021 Counts,955.0,945.0,0.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,75 years and over,Men+,2021 Counts,410.0,410.0,0.0,0.0,0.0
2021,"Gander (CA), N.L.",2021S0504011,75 years and over,Women+,2021 Counts,540.0,540.0,0.0,0.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Total - Age,Total - Gender,2021 Counts,13600.0,13250.0,260.0,40.0,95.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Total - Age,Men+,2021 Counts,6545.0,6365.0,125.0,10.0,50.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,Total - Age,Women+,2021 Counts,7060.0,6880.0,130.0,25.0,45.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,0 to 14 years,Total - Gender,2021 Counts,1925.0,1925.0,0.0,0.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,0 to 14 years,Men+,2021 Counts,965.0,965.0,0.0,0.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,0 to 14 years,Women+,2021 Counts,960.0,960.0,0.0,0.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 years and over,Total - Gender,2021 Counts,11675.0,11325.0,255.0,40.0,95.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 years and over,Men+,2021 Counts,5580.0,5400.0,125.0,10.0,50.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 years and over,Women+,2021 Counts,6095.0,5925.0,130.0,25.0,45.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 to 24 years,Total - Gender,2021 Counts,1395.0,1300.0,15.0,0.0,80.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 to 24 years,Men+,2021 Counts,730.0,675.0,10.0,0.0,45.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 to 24 years,Women+,2021 Counts,665.0,630.0,0.0,0.0,30.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 to 19 years,Total - Gender,2021 Counts,720.0,705.0,0.0,0.0,10.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 to 19 years,Men+,2021 Counts,365.0,350.0,0.0,0.0,10.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,15 to 19 years,Women+,2021 Counts,350.0,350.0,0.0,0.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,20 to 24 years,Total - Gender,2021 Counts,680.0,600.0,10.0,0.0,70.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,20 to 24 years,Men+,2021 Counts,365.0,320.0,10.0,0.0,35.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,20 to 24 years,Women+,2021 Counts,315.0,275.0,0.0,0.0,30.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 64 years,Total - Gender,2021 Counts,7035.0,6845.0,170.0,40.0,20.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 64 years,Men+,2021 Counts,3335.0,3245.0,80.0,10.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 64 years,Women+,2021 Counts,3705.0,3600.0,90.0,25.0,15.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 54 years,Total - Gender,2021 Counts,4770.0,4635.0,115.0,35.0,20.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 54 years,Men+,2021 Counts,2290.0,2220.0,60.0,10.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 54 years,Women+,2021 Counts,2485.0,2415.0,55.0,20.0,15.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 34 years,Total - Gender,2021 Counts,1300.0,1250.0,30.0,10.0,20.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 34 years,Men+,2021 Counts,600.0,590.0,10.0,0.0,0.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,25 to 34 years,Women+,2021 Counts,695.0,660.0,20.0,10.0,15.0
2021,"Grand Falls-Windsor (CA), N.L.",2021S0504010,35 to 44 years,Total - Gender,2021 Counts,1605.0,1560.0,45.0,20.0,0.0
