DGUID,GEO_LEVEL,CENSUS_YEAR,GEO_NAME,  0 to 14 years,  15 to 64 years,  65 years and over
2021A00054817095,Census subdivision,2021,Mackenzie County,4535,7190,960
2021A00054819006,Census subdivision,2021,Grande Prairie County No. 1,5305,15315,2685
2021A00054819012,Census subdivision,2021,Grande Prairie,13950,43955,5270
2021A00055901022,Census subdivision,2021,Cranbrook,3000,12355,4485
2021A00055903015,Census subdivision,2021,Nelson,1540,7165,2020
2021A00055907035,Census subdivision,2021,Summerland,1570,6535,3595
2021A00055907041,Census subdivision,2021,Penticton,4385,21065,10275
2021A00055909020,Census subdivision,2021,Chilliwack,17695,57565,16730
2021A00055909052,Census subdivision,2021,Abbotsford,26650,97615,26530
2021A00055909056,Census subdivision,2021,Mission,7800,26655,6170
2021A00055915001,Census subdivision,2021,Langley,24085,85165,21710
2021A00055915002,Census subdivision,2021,Langley,4415,18465,5150
2021A00055915004,Census subdivision,2021,Surrey,93945,385035,83580
2021A00055915007,Census subdivision,2021,White Rock,1980,11685,7060
2021A00055915011,Census subdivision,2021,Delta,16410,69520,21340
2021A00055915015,Census subdivision,2021,Richmond,27925,139745,40730
2021A00055915020,Census subdivision,2021,Metro Vancouver A,2735,12570,1775
2021A00055915022,Census subdivision,2021,Vancouver,70370,473255,106760
2021A00055915025,Census subdivision,2021,Burnaby,32250,171775,41700
2021A00055915029,Census subdivision,2021,New Westminster,9925,56020,12110
2021A00055915034,Census subdivision,2021,Coquitlam,22395,101620,23455
2021A00055915039,Census subdivision,2021,Port Coquitlam,9620,41775,8995
2021A00055915043,Census subdivision,2021,Port Moody,5515,23165,4775
2021A00055915046,Census subdivision,2021,North Vancouver,14570,56530,16285
2021A00055915051,Census subdivision,2021,North Vancouver,7300,40225,9980
2021A00055915055,Census subdivision,2021,West Vancouver,6155,25315,11910
2021A00055915070,Census subdivision,2021,Pitt Meadows,3275,12370,3380
2021A00055915075,Census subdivision,2021,Maple Ridge,16055,59970,13835
2021A00055917005,Census subdivision,2021,North Saanich,1395,6565,4235
2021A00055917010,Census subdivision,2021,Sidney,1085,5615,5080
2021A00055917015,Census subdivision,2021,Central Saanich,2445,10200,4525
2021A00055917021,Census subdivision,2021,Saanich,15195,74735,25580
2021A00055917027,Census subdivision,2021,Saltspring Island,1355,6180,3735
2021A00055917030,Census subdivision,2021,Oak Bay,2295,9520,5820
2021A00055917034,Census subdivision,2021,Victoria,8420,60675,18795
2021A00055917040,Census subdivision,2021,Esquimalt,2140,11680,3475
2021A00055917041,Census subdivision,2021,Colwood,3150,12130,3515
2021A00055917044,Census subdivision,2021,Langford,7995,32125,6070
